Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.68     0.00      518     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_S_relocate(LL3D_Triangle*, LL3D_Triangle*, LL3D_Triangle*, std::allocator<LL3D_Triangle>&)
  0.00      5.68     0.00      518     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_S_do_relocate(LL3D_Triangle*, LL3D_Triangle*, LL3D_Triangle*, std::allocator<LL3D_Triangle>&, std::integral_constant<bool, true>)
  0.00      5.68     0.00      518     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_S_use_relocate()
  0.00      5.68     0.00      518     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      5.68     0.00      518     0.00     0.00  LL3D_Triangle* std::__relocate_a<LL3D_Triangle*, LL3D_Triangle*, std::allocator<LL3D_Triangle> >(LL3D_Triangle*, LL3D_Triangle*, LL3D_Triangle*, std::allocator<LL3D_Triangle>&)
  0.00      5.68     0.00      518     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<LL3D_Triangle, void>::value, LL3D_Triangle*>::type std::__relocate_a_1<LL3D_Triangle, LL3D_Triangle>(LL3D_Triangle*, LL3D_Triangle*, LL3D_Triangle*, std::allocator<LL3D_Triangle>&)
  0.00      5.68     0.00      295     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      5.68     0.00      277     0.00     0.00  std::_Vector_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_deallocate(LL3D_Triangle*, unsigned long)
  0.00      5.68     0.00      259     0.00     0.00  __gnu_cxx::new_allocator<LL3D_Triangle>::deallocate(LL3D_Triangle*, unsigned long)
  0.00      5.68     0.00      259     0.00     0.00  __gnu_cxx::new_allocator<LL3D_Triangle>::allocate(unsigned long, void const*)
  0.00      5.68     0.00      259     0.00     0.00  __gnu_cxx::__normal_iterator<LL3D_Triangle*, std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> > >::difference_type __gnu_cxx::operator-<LL3D_Triangle*, std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> > >(__gnu_cxx::__normal_iterator<LL3D_Triangle*, std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> > > const&, __gnu_cxx::__normal_iterator<LL3D_Triangle*, std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> > > const&)
  0.00      5.68     0.00      259     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_check_len(unsigned long, char const*) const
  0.00      5.68     0.00      259     0.00     0.00  std::_Vector_base<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_allocate(unsigned long)
  0.00      5.68     0.00      259     0.00     0.00  std::allocator_traits<std::allocator<LL3D_Triangle> >::deallocate(std::allocator<LL3D_Triangle>&, LL3D_Triangle*, unsigned long)
  0.00      5.68     0.00      259     0.00     0.00  std::allocator_traits<std::allocator<LL3D_Triangle> >::allocate(std::allocator<LL3D_Triangle>&, unsigned long)
  0.00      5.68     0.00      259     0.00     0.00  void std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::_M_realloc_insert<LL3D_Triangle const&>(__gnu_cxx::__normal_iterator<LL3D_Triangle*, std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> > >, LL3D_Triangle const&)
  0.00      5.68     0.00      259     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::end()
  0.00      5.68     0.00      259     0.00     0.00  std::vector<LL3D_Triangle, std::allocator<LL3D_Triangle> >::begin()
  0.00      5.68     0.00      243     0.00     0.00  MK2D_IsKey(unsigned char)
  0.00      5.68     0.00      235     0.00     0.00  MC_SingleplayerDrawMeFunction()
  0.00      5.68     0.00      156     0.00     0.00  std::vector<Chunk, std::allocator<Chunk> >::size() const
  0.00      5.68     0.00      138     0.00     0.00  __gnu_cxx::__normal_iterator<Chunk*, std::vector<Chunk, std::allocator<Chunk> > >::__normal_iterator(Chunk* const&)
  0.00      5.68     0.00      128     0.00     0.00  std::vector<SubChunk, std::allocator<SubChunk> >::size() const
  0.00      5.68     0.00       88     0.00     0.00  MC_Button* std::__addressof<MC_Button>(MC_Button&)
  0.00      5.68     0.00       82     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      5.68     0.00       80     0.00     0.00  __gnu_cxx::new_allocator<SubChunk>::max_size() const
  0.00      5.68     0.00       80     0.00     0.00  std::_Vector_base<SubChunk, std::allocator<SubChunk> >::_M_get_Tp_allocator() const
  0.00      5.68     0.00       80     0.00     0.00  std::_Vector_base<SubChunk, std::allocator<SubChunk> >::_M_get_Tp_allocator()
  0.00      5.68     0.00       80     0.00     0.00  SubChunk* std::__niter_base<SubChunk*>(SubChunk*)
  0.00      5.68     0.00       77     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00      5.68     0.00       75     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      5.68     0.00       73     0.00     0.00  LL3D_Matrix4x4::zero()
  0.00      5.68     0.00       72     0.00     0.00  std::sin(float)
  0.00      5.68     0.00       69     0.00     0.00  std::vector<Chunk, std::allocator<Chunk> >::end()
  0.00      5.68     0.00       69     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
  0.00      5.68     0.00       66     0.00     0.00  MC_Button* std::__niter_base<MC_Button*>(MC_Button*)
  0.00      5.68     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<Chunk*, std::vector<Chunk, std::allocator<Chunk> > >::operator*() const
  0.00      5.68     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<Chunk*, std::vector<Chunk, std::allocator<Chunk> > >::operator-(long) const
  0.00      5.68     0.00       64     0.00     0.00  std::vector<SubChunk, std::allocator<SubChunk> >::max_size() const
  0.00      5.68     0.00       64     0.00     0.00  std::allocator_traits<std::allocator<SubChunk> >::max_size(std::allocator<SubChunk> const&)
  0.00      5.68     0.00       64     0.00     0.00  std::vector<Chunk, std::allocator<Chunk> >::back()
  0.00      5.68     0.00       64     0.00     0.00  std::vector<SubChunk, std::allocator<SubChunk> >::_S_max_size(std::allocator<SubChunk> const&)
  0.00      5.68     0.00       63     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~new_allocator()
  0.00      5.68     0.00       63     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~allocator()
  0.00      5.68     0.00       61     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::new_allocator(__gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.68     0.00       61     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocator(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.68     0.00       61     0.00     0.00  Chunk* std::__addressof<Chunk>(Chunk&)
  0.00      5.68     0.00       52     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      5.68     0.00       52     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      5.68     0.00       52     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      5.68     0.00       49     0.00     0.00  MC_Button const& std::forward<MC_Button const&>(std::remove_reference<MC_Button const&>::type&)
  0.00      5.68     0.00       48     0.00     0.00  __gnu_cxx::new_allocator<SubChunk>::~new_allocator()
  0.00      5.68     0.00       48     0.00     0.00  std::allocator<SubChunk>::~allocator()
  0.00      5.68     0.00       48     0.00     0.00  std::_Vector_base<SubChunk, std::allocator<SubChunk> >::_M_deallocate(SubChunk*, unsigned long)
  0.00      5.68     0.00       47     0.00     0.00  __gnu_cxx::new_allocator<SubChunk>::new_allocator(__gnu_cxx::new_allocator<SubChunk> const&)
  0.00      5.68     0.00       47     0.00     0.00  std::allocator<SubChunk>::allocator(std::allocator<SubChunk> const&)
  0.00      5.68     0.00       47     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      5.68     0.00       46     0.00     0.00  std::remove_reference<std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl&>::type&& std::move<std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl&>(std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl&)
  0.00      5.68     0.00       46     0.00     0.00  MC_Button&& std::forward<MC_Button>(std::remove_reference<MC_Button>::type&)
  0.00      5.68     0.00       44     0.00     0.00  __gnu_cxx::__normal_iterator<MC_Button*, std::vector<MC_Button, std::allocator<MC_Button> > >::base() const
  0.00      5.68     0.00       44     0.00     0.00  void std::_Destroy_aux<true>::__destroy<LL3D_Triangle*>(LL3D_Triangle*, LL3D_Triangle*)
  0.00      5.68     0.00       44     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl::~_Vector_impl()
  0.00      5.68     0.00       44     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base()
  0.00      5.68     0.00       44     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      5.68     0.00       44     0.00     0.00  void std::_Destroy<LL3D_Triangle*, LL3D_Triangle>(LL3D_Triangle*, LL3D_Triangle*, std::allocator<LL3D_Triangle>&)
  0.00      5.68     0.00       43     0.00     0.00  MC_Button::~MC_Button()
  0.00      5.68     0.00       43     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00      5.68     0.00       41     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
